Square_Feet,Bedrooms,Location_Score,House_Price ($)
1714,3,6,432975
2371,2,9,212217
2108,2,2,141873
881,2,1,587877
1313,4,2,468676
2720,3,7,488411
2739,1,3,503119
1545,4,2,234092
2209,3,7,403899
1506,3,2,448100
1270,1,3,186988
1195,1,7,145648
2355,1,4,596753
1604,2,1,225991
1733,1,5,502732
2079,3,9,477149
2557,1,8,102396
1704,3,9,184082
1876,4,9,512345
2690,2,7,228322
2323,4,4,232663
2187,4,5,111303
2103,3,1,261633
1392,4,1,433863
2906,3,3,349690
927,1,8,585324
1535,1,2,359820
1320,3,4,199616
1036,1,2,486309
2104,2,5,186231
2581,4,9,369458
2101,2,1,119623
2851,4,5,298747
1241,1,9,590042
2876,2,1,558298
1604,1,9,576840
874,4,8,205228
2975,3,4,526346
2889,3,5,282828
2179,2,5,459768
840,1,6,257364
2881,1,7,473929
2500,2,8,448350
2201,3,8,169274
1387,4,2,233541
2422,2,9,153947
1141,4,7,253606
2874,3,4,294692
1445,1,4,148874
1530,3,8,149708
967,2,4,174553
1409,1,6,168344
2572,2,5,411282
2840,2,3,285374
1254,3,2,147638
2508,2,9,178249
1501,3,9,468009
2399,1,1,102719
929,3,3,253962
2645,1,8,570452
2186,3,6,529725
1492,4,5,142534
2194,4,5,595518
1593,2,6,192241
828,3,7,512003
948,3,1,226209
2119,1,9,542061
2858,2,3,289004
1936,3,4,192124
986,2,1,191659
2050,4,3,264134
2133,3,2,175713
897,3,2,318335
854,2,1,588972
1557,3,8,553677
1205,2,3,175418
2916,3,3,559888
2112,1,6,228232
2585,2,8,528048
1550,3,9,263038
2562,4,9,565761
1164,3,4,506203
2826,4,5,268383
1281,4,2,393719
953,1,9,425996
2324,2,8,358722
2920,3,3,232079
1840,1,9,302053
2464,3,3,176242
2040,4,9,278589
860,2,2,129257
1738,3,9,580488
2439,3,8,535423
2889,4,9,244353
824,3,5,423390
1862,3,2,363579
930,4,8,329947
2052,1,6,331758
907,4,8,191357
971,1,5,257732
