Square_Feet,Bedrooms,Location_Score
1714,3,6
2371,2,9
2108,2,2
881,2,1
1313,4,2
2720,3,7
2739,1,3
1545,4,2
2209,3,7
1506,3,2
1270,1,3
1195,1,7
2355,1,4
1604,2,1
1733,1,5
2079,3,9
2557,1,8
1704,3,9
1876,4,9
2690,2,7
2323,4,4
2187,4,5
2103,3,1
1392,4,1
2906,3,3
927,1,8
1535,1,2
1320,3,4
1036,1,2
2104,2,5
2581,4,9
2101,2,1
2851,4,5
1241,1,9
2876,2,1
1604,1,9
874,4,8
2975,3,4
2889,3,5
2179,2,5
840,1,6
2881,1,7
2500,2,8
2201,3,8
1387,4,2
2422,2,9
1141,4,7
2874,3,4
1445,1,4
1530,3,8
967,2,4
1409,1,6
2572,2,5
2840,2,3
1254,3,2
2508,2,9
1501,3,9
2399,1,1
929,3,3
2645,1,8
2186,3,6
1492,4,5
2194,4,5
1593,2,6
828,3,7
948,3,1
2119,1,9
2858,2,3
1936,3,4
986,2,1
2050,4,3
2133,3,2
897,3,2
854,2,1
1557,3,8
1205,2,3
2916,3,3
2112,1,6
2585,2,8
1550,3,9
2562,4,9
1164,3,4
2826,4,5
1281,4,2
953,1,9
2324,2,8
2920,3,3
1840,1,9
2464,3,3
2040,4,9
860,2,2
1738,3,9
2439,3,8
2889,4,9
824,3,5
1862,3,2
930,4,8
2052,1,6
907,4,8
971,1,5
