Date,Product,Category,Price,Cost,Quantity,Region,Revenue,Profit
66,9,0,143,132,79,2,11297,869
256,5,1,994,296,73,2,72562,50954
195,3,1,57,46,87,2,4959,957
69,6,1,347,19,83,1,28801,27224
50,4,1,270,259,9,2,2430,99
131,5,0,920,639,99,1,91080,27819
14,1,1,195,184,21,1,4095,231
66,3,0,621,601,73,2,45333,1460
79,3,0,933,614,28,2,26124,8932
149,1,1,473,462,62,3,29326,682
245,8,0,56,45,7,1,392,77
55,1,1,335,266,80,2,26800,5520
64,3,1,707,142,16,2,11312,9040
264,3,0,992,285,97,2,96224,68579
103,4,1,815,785,4,3,3260,120
88,7,1,984,692,4,3,3936,1168
101,5,1,992,522,40,0,39680,18800
225,1,0,612,322,17,1,10404,4930
183,5,1,133,122,52,0,6916,572
252,1,0,59,48,93,2,5487,1023
213,9,0,320,130,52,3,16640,9880
134,3,1,243,116,36,3,8748,4572
200,7,1,337,326,38,0,12806,418
110,4,0,368,213,50,3,18400,7750
229,7,1,134,123,63,2,8442,693
15,7,1,717,314,63,3,45171,25389
178,7,0,342,331,62,0,21204,682
165,5,0,587,576,99,2,58113,1089
253,1,0,59,48,7,0,413,77
34,2,1,885,165,27,3,23895,19440
42,9,0,59,48,92,0,5428,1012
116,6,1,878,728,86,0,75508,12900
130,7,0,992,629,14,1,13888,5082
195,8,0,768,260,71,3,54528,36068
132,5,1,308,297,86,3,26488,946
121,4,1,281,270,5,0,1405,55
36,6,1,235,224,55,1,12925,605
265,2,1,166,155,2,3,332,22
40,8,1,355,29,62,2,22010,20212
173,2,1,187,176,91,0,17017,1001
235,6,1,111,10,21,3,2331,2121
88,7,0,372,128,79,2,29388,19276
223,8,1,590,44,21,3,12390,11466
90,2,1,590,207,10,2,5900,3830
14,4,1,835,494,87,0,72645,29667
244,1,1,700,689,58,3,40600,638
114,3,0,800,68,39,3,31200,28548
198,1,1,382,170,5,1,1910,1060
56,6,1,576,565,65,0,37440,715
231,5,0,364,215,13,2,4732,1937
8,3,1,712,21,85,3,60520,58735
171,9,0,189,178,90,3,17010,990
190,4,0,375,285,85,2,31875,7650
254,9,1,210,199,53,0,11130,583
38,8,0,686,251,82,1,56252,35670
248,3,0,441,225,45,1,19845,9720
57,9,0,719,260,32,3,23008,14688
189,9,1,26,15,36,2,936,396
22,2,0,152,141,81,3,12312,891
144,1,0,766,315,99,2,75834,44649
53,2,1,576,194,60,1,34560,22920
35,3,1,845,48,11,0,9295,8767
264,3,1,780,232,63,2,49140,34524
1,6,1,50,39,21,1,1050,231
39,2,1,554,504,52,3,28808,2600
68,0,1,445,436,55,2,24475,495
185,1,1,413,187,26,0,10738,5876
226,3,1,691,437,68,3,46988,17272
133,6,0,382,303,34,3,12988,2686
152,2,1,456,160,52,1,23712,15392
29,1,0,689,393,82,2,56498,24272
111,2,0,570,559,99,3,56430,1089
141,9,0,946,317,93,0,87978,58497
194,6,1,101,90,52,2,5252,572
258,1,1,375,364,29,0,10875,319
220,7,0,277,266,38,3,10526,418
195,8,0,737,17,42,0,30954,30240
149,8,0,608,350,21,1,12768,5418
177,1,1,543,138,42,0,22806,17010
132,2,1,314,303,13,2,4082,143
215,6,1,981,678,64,0,62784,19392
147,8,0,243,232,17,0,4131,187
146,6,1,544,367,9,1,4896,1593
166,8,0,65,54,41,0,2665,451
247,9,0,686,504,1,0,686,182
38,2,0,132,95,2,3,264,74
203,9,1,252,184,60,3,15120,4080
151,8,0,36,25,48,2,1728,528
177,7,0,379,320,29,3,10991,1711
130,7,1,242,128,97,3,23474,11058
27,9,1,885,227,10,3,8850,6580
107,7,1,719,436,58,3,41702,16414
9,8,0,467,423,60,1,28020,2640
218,1,1,875,123,21,3,18375,15792
46,9,0,384,154,28,1,10752,6440
253,5,0,694,547,75,1,52050,11025
242,2,1,345,334,34,3,11730,374
5,7,0,486,312,8,0,3888,1392
252,7,1,433,422,59,1,25547,649
86,3,0,474,463,86,0,40764,946
91,0,0,605,354,72,0,43560,18072
45,9,1,252,10,49,3,12348,11858
93,4,1,243,156,79,2,19197,6873
53,7,0,850,296,17,3,14450,9418
112,2,0,431,420,60,2,25860,660
210,5,0,591,62,87,2,51417,46023
186,7,0,354,313,88,3,31152,3608
162,5,0,241,78,45,3,10845,7335
27,8,0,56,45,83,2,4648,913
19,8,0,297,286,69,3,20493,759
90,0,1,215,204,32,2,6880,352
140,1,1,935,713,44,0,41140,9768
243,4,0,883,584,65,3,57395,19435
192,3,1,503,492,87,0,43761,957
21,0,0,261,170,8,1,2088,728
33,6,0,343,332,77,0,26411,847
44,3,1,750,98,72,0,54000,46944
150,9,0,211,200,87,2,18357,957
212,2,1,36,25,43,0,1548,473
63,6,1,543,532,1,3,543,11
118,6,1,937,766,51,2,47787,8721
264,0,1,420,409,24,1,10080,264
148,1,0,925,168,99,3,91575,74943
22,0,0,905,498,24,1,21720,9768
159,9,0,724,333,17,0,12308,6647
65,7,1,41,30,5,3,205,55
88,7,1,493,390,20,3,9860,2060
182,1,0,139,111,21,1,2919,588
3,9,1,229,218,58,3,13282,638
152,1,1,325,314,31,3,10075,341
